pname,cup,mix,spicy,sale,amt,wt,kcal,carb,sugar,protein,fat,satfat,transfat,chole,natrium
신라면,0,0,1,2600,44720,120,500,79,4,10,16,9,0,0,1790
안성탕면,0,0,1,1140,21180,125,535,84,4,11,17,8,0,0,1890
삼양라면,0,0,0,1100,19550,120,500,79,.,10,16,8,0,0,1790
너구리우동,0,0,1,1050,15470,120,505,81,4,7,17,8,0,0,1700
짜파게티,0,1,0,970,13880,140,610,97,6,11,20,8,0,0,1180
육개장사발면,1,0,0,660,9930,86,375,53,1,7,15,7,0,0,1590
신라면컵,1,0,0,620,8990,65,290,45,2,5,10,5,0,0,1290
왕뚜껑,1,0,0,450,4820,110,475,71,4,9,17,9,0,0,1750
오징어짬뽕,0,0,1,370,5250,124,515,85,5,10,15,7,0,12,1780
신라면큰사발,1,0,0,340,3770,114,490,76,5,8,17,9,.,.,1550
진라면매운맛,0,0,1,330,5760,123.4,513,78.1,5.6,12.1,16.9,8.9,0.06,0,1682
새우탕큰사발,1,0,0,290,3570,67,315,46,2,6,12,6,0,0,1230
팔도비빔면,0,1,0,270,4090,130,530,80,12,9,19,9,0,0,1250
진라면순한맛,0,0,0,240,4380,120,500,79,4,12,15,8,0,9,1880
맛있는라면,0,0,0,230,2950,115,475,78,3,9,14,8,.,.,1810
튀김우동큰사발,1,0,0,220,2530,62,315,41,3,4,15,5,0,0,1200
무파마탕면,0,0,1,220,2670,122,515,83,4,10,16,7,0,0,1720
마트자사상품,0,0,0,190,3760,.,.,.,.,.,.,.,.,.,.
오징어짬뽕컵,1,0,1,190,2720,67,305,49,5,5,10,4.8,0,13,1240
스낵면,0,0,0,168,3180,108,475,70,4,10,17,9,0,0,.
짜파게티큰사발,1,1,0,167,1860,123,550,85,8,10,19,9,0,0,1220
새우탕면,0,0,0,156,2340,110,465,72,4,10,15,7,0,12,1860
사천요리짜파게티,0,1,0,149,1770,137,615,94,9,12,21,8,0,0,1080
둥지쌀국수,0,0,0,141,1160,.,.,.,.,.,.,.,.,.,.
후루룩국수,0,0,0,140,1730,92,320,68,9,1.5,.,.,.,.,.
삼양컵,1,0,0,138,2040,65,295,42,2,5,12,6,0,0,1220
육개장큰사발,1,0,0,135,1550,110,485,75,4,10,16,8,0,0,1610
진국사리곰탕면,0,0,0,133,1880,110,490,74,4,12,16,9,0,0,1700
둥지냉면,0,0,0,133,1160,161,485,111,9,0.3,.,.,.,.,.
일품해물라면,0,0,0,123,1870,120,505,81,4,11,15,8,0,11,1690
